M_ID,M_name,Element,HP,AT,MAT,DF,MDF,Speed,A_AV,M_AV,P_Immune,M_Immune,P_Half,M_Half,E_Immune,E_Half,Status_Resist,Death_Resist,EXP,Gold,Drop,Drop_Chance,M_extra_name
257,Knight of Sandora,Fire,8,5,4,60,70,40,0,0,0,0,0,0,None,None,255,0,2,3,Healing Potion,100,Knight of Sandora(Seles)
256,Commander,Dark,28,5,6,60,60,40,0,0,0,0,0,0,None,None,255,128,20,20,Burn Out,100,Commander I
21,Assassin Cock,Wind,6,5,4,120,140,45,0,0,0,0,0,0,None,None,99,0,5,6,Healing Potion,10,Assassin Cock
38,Trent,Earth,10,5,4,180,60,30,0,0,0,0,0,0,None,None,99,0,4,9,Pellet,10,Trent
8,Goblin,Fire,8,5,3,140,140,40,0,0,0,0,0,0,None,None,99,0,4,6,Detonate Rock,10,Goblin
24,Berserk Mouse,Dark,4,4,3,100,140,45,0,0,0,0,0,0,None,None,107,0,3,3,Healing Potion,10,Berserk Mouse
134,Hellena Warden,Fire,18,6,5,120,120,50,0,0,0,0,0,0,None,None,99,0,6,9,None,0,Hellena Warden I
261,Fruegel,Earth,180,8,7,150,130,50,0,0,0,0,0,0,None,None,255,144,300,50,Knight Shield,100,Fruegel I
259,Hellena Warden,Fire,30,7,7,130,130,50,0,0,0,0,0,0,None,None,255,0,0,0,Healing Potion,100,Hellena Warden(F)
260,Senior Warden,Fire,40,8,10,130,130,50,0,0,0,0,0,0,None,None,255,128,0,0,Healing Potion,100,Senior Warden(F)
27,Vampire Kiwi,Dark,26,7,8,100,140,70,0,0,0,0,0,0,None,None,99,0,8,9,Healing Potion,8,Vampire Kiwi
45,Mole,Earth,32,9,7,180,100,50,0,0,0,0,0,0,None,None,99,16,11,9,Angel's Prayer,8,Mole
59,Crescent Bee,Wind,18,8,7,120,120,60,20,0,0,0,0,0,None,None,99,0,10,6,Spinning Gale,8,Crescent Bee
0,Mantis,Earth,40,10,7,170,95,50,0,0,0,0,0,0,None,None,99,0,12,6,Pellet,8,Mantis
46,Screaming Bat,Dark,24,8,11,100,140,70,20,0,0,0,0,0,None,None,99,0,8,6,Healing Potion,8,Screaming Bat
104,Slime,Earth,40,9,7,100,80,50,0,0,0,0,0,0,None,None,99,0,11,6,Body Purifier,10,Slime I
148,Slime,Earth,40,9,7,100,80,50,0,0,0,0,0,0,None,None,99,0,11,6,Body Purifier,10,Slime II
64,Ugly Balloon,Wind,70,9,8,90,220,60,0,0,0,0,0,0,None,None,99,0,10,9,Poison Guard,2,Ugly Balloon
94,Orc,Dark,48,10,7,140,60,60,0,0,0,0,0,0,None,None,99,0,10,6,Dark Mist,10,Orc
13,Evil Spider,Earth,60,11,8,100,80,60,0,0,0,0,0,0,None,None,99,0,12,12,Angel's Prayer,8,Evil Spider
332,Urobolus,Earth,560,11,10,100,80,50,0,0,0,0,0,0,None,None,255,144,400,50,Wargod's Amulet,100,Urobolus
130,Sandora Soldier,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,25,30,Healing Potion,50,Sandora Soldier(Hoax)
258,Sandora Elite,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,200,50,Healing Breeze,100,Sandora Elite I
273,Sandora Elite,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,None,0,Sandora Elite I(Clone)
265,Kongol,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,300,50,Power Wrist,100,Kongol I
4,Sea Dragon,Fire,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,14,9,Burn Out,10,Sea Dragon
68,Crocodile,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,17,6,Pellet,10,Crocodile
28,Myconido,Earth,0,0,0,0,0,0,20,0,0,0,0,0,None,None,277,0,11,8,Body Purifier,10,Myconido
22,Merman,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,107,0,15,12,Spear,20,Merman
131,Sandora Soldier,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,14,9,Healing Potion,8,Sandora Soldier(F)
132,Sandora Soldier,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,11,12,Sun Rhapsody,10,Sandora Soldier(W)
135,Commander,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,128,17,9,Attack Ball,100,Commander II
74,Magma Fish,Fire,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,10,6,Healing Potion,10,Magma Fish I
157,Magma Fish,Fire,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,10,6,Healing Potion,10,Magma Fish II
100,Red Hot,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,14,6,Mind Purifier,8,Red Hot I
146,Red Hot,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,14,6,Mind Purifier,8,Red Hot II
92,Salamander,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,17,9,Sun Rhapsody,8,Salamander
33,Fire Spirit,Fire,0,0,0,0,0,0,20,20,0,0,0,0,Fire,None,255,0,13,12,Spirit Cloak,10,Fire Spirit I
150,Fire Spirit,Fire,0,0,0,0,0,0,20,20,0,0,0,0,Fire,None,255,0,13,12,Spirit Cloak,2,Fire Spirit II
308,Virage(Head),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,600,100,Healing Potion,100,Wounded Virage(Head)
309,Virage(Body),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Healing Potion,100,Wounded Virage(Body)
310,Virage(Arm),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Mind Purifier,100,Wounded Virage(Arm)
333,Fire Bird,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,800,100,Red-Eye Stone,100,Fire Bird
334,Fire Ball,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Fire Ball
90,Mandrake,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,15,9,Sun Rhapsody,8,Mandrake
35,Run Fast,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,16,12,Body Purifier,10,Run Fast
19,Lizard Man,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,18,15,Beast Fang,2,Lizard Man
88,Man Eating Bud,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,20,24,Angel's Prayer,8,Man Eating Bud
115,Tricky Bat,Wind,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,12,6,Mind Purifier,8,Tricky Bat
275,Feyrbrand,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Down Burst,100,Feyrbrand
287,Greham,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,1200,100,Plate Mail,30,Greham
66,Crystal Golem,Light,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,22,27,Sapphire Pin,2,Crystal Golem
107,Plague Rat,Earth,0,0,0,0,0,0,10,0,0,0,0,0,None,None,227,0,14,6,Body Purifier,8,Plague Rat
15,Strong Man,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,18,9,Fake Power Wrist,2,Strong Man
58,Gargoyle,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,17,15,Dark Mist,8,Gargoyle
55,Living Statue,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,20,12,Detonate Rock,8,Living Statue
325,Drake the Bandit,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,1500,100,Bandit's Ring,30,Drake the Bandit
326,Wire,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Wire
327,Bomb,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Bomb
288,Shirley,Light,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Silver Stone,100,Shirley
289,Shana,Light,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Shirley(Shana)
290,Albert,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Shirley(Albert)
302,Gorgaga,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,None,0,Gorgaga
303,Serfius,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,None,0,Serfius
304,Danton,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Danton
305,Atlow,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,None,0,Atlow
269,Lloyd,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,None,0,Lloyd(Arena)
129,Hellena Warden,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,20,15,Morning Star,2,Hellena Warden II
133,Senior Warden,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,24,21,Spear,2,Senior Warden
329,Jiango,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,2000,100,Sachet,100,Jiango
105,Fowl Fighter,Fire,0,0,0,0,0,0,10,0,0,0,0,0,None,None,99,0,16,9,Mind Purifier,8,Fowl Fighter
262,Fruegel,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,2000,200,Gravity Grabber,100,Fruegel II
263,Rodriguez,Wind,0,0,0,0,0,0,10,0,0,0,0,0,None,None,255,16,0,0,None,0,Rodriguez
264,Guftas,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,16,0,0,None,0,Guftas
103,Knight of Sandora,Fire,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,24,15,Healing Potion,20,Knight of Sandora(Black Castle)
