	is %	Damage	Accuracy	MP	Element	Description		
Flameshot		255	100	10	Fire	Fire STR 510%		2
Explosion		170	100	20	Fire	Fire STR 340%<END>		2
Final Burst		382.5	100	30	Fire	Fire STR 765%<END>		2
Red-Eye Dragon		510	100	80	Fire	Fire STR 1020%		2
Divine Dragon Cannon		600	100	50	Non-Elemental	Void STR 1020%		
Wing Blaster (Lavitz)		110	100	20	Wind	Wind STR 440%		
Gaspless (Lavitz)		495	100	30	Wind	Wind STR 990%		
Blossom Storm (Lavitz)	Yes	0	100	20	Wind	Damage Resist 50% Dur 3		
Jade Dragon		660	100	80	Wind	Wind STR 1320%		
Divine Dragon Ball		400	100	50	Non-Elemental	Void STR 1020%		
Star Children		166	100	20	Light	Light STR 330%		2.6
Moon Light	Yes	100	100	10	Light	Ally Single 100% Rev & Rec		
Gates of Heaven	Yes	100	100	30	Light	Ally All 100% Recover		
White Silver Dragon		433.5	100	80	Light	Light STR 865%		2.6
Wing Blaster (Albert)		110	100	20	Wind	Wind STR 440%		
Astral Drain		200	100	10	Dark	Dark STR 590% & HP		
Death Dimension		100	100	20	Dark	Dark STR 395%		
Gaspless (Albert)		495	100	30	Wind	Wind STR 990%		
Demon's Gate		100	100	30	Dark	Lethal attack for all		
Dark Dragon		400	100	80	Dark	Dark STR 1680% & HP		
Atomic Mind		165	100	10	Thunder	Thunder STR 330%		
Thunder Kid		330	100	20	Thunder	Thunder STR 660%		
Thunder God		495	100	30	Thunder	Thunder STR 990%		
Violet Dragon		660	100	80	Thunder	Thunder STR 1495%		
Freezing Ring		200	100	10	Water	Water STR 510%		
Rainbow Breath	Yes	50	100	20	Water	HP Recv & Cure - All		
Rose Storm (Albert)	Yes	0	100	20	Wind	Damage Resist 50% Dur 3		
Diamond Dust		200	100	30	Water	Water STR 530%		
Blue Sea Dragon		400	100	80	Water	Water STR 1400%		
Grand Stream		270	100	20	Earth	Earth STR 675%		
Meteor Strike		448	100	30	Earth	Earth STR 1120%		
Golden Dragon		888	100	80	Earth	Earth STR 2220%		
